Name,Father Name,Roll Number,Class,Section,Phone,CNIC,Gender,Date of Birth,Address,Bus Service,Bus Start Month,Bus Monthly Fee
UAT Slab 1A,Test Guardian 01,UAT-S1-A,UAT Slab 1,A,03000001001,3520210000001,male,2012-01-01,UAT Test Address 01,no,,0
UAT Slab 1B,Test Guardian 02,UAT-S1-B,UAT Slab 1,A,03000001002,3520210000002,female,2012-02-02,UAT Test Address 02,no,,0
UAT Slab 2A,Test Guardian 03,UAT-S2-A,UAT Slab 2,A,03000001003,3520210000003,male,2012-03-03,UAT Test Address 03,no,,0
UAT Slab 2B,Test Guardian 04,UAT-S2-B,UAT Slab 2,A,03000001004,3520210000004,female,2012-04-04,UAT Test Address 04,no,,0
UAT Slab 3A,Test Guardian 05,UAT-S3-A,UAT Slab 3,A,03000001005,3520210000005,male,2012-05-05,UAT Test Address 05,no,,0
UAT Slab 3B,Test Guardian 06,UAT-S3-B,UAT Slab 3,A,03000001006,3520210000006,female,2012-06-06,UAT Test Address 06,no,,0
UAT Slab 4A,Test Guardian 07,UAT-S4-A,UAT Slab 4,A,03000001007,3520210000007,male,2012-07-07,UAT Test Address 07,no,,0
UAT Slab 4B,Test Guardian 08,UAT-S4-B,UAT Slab 4,A,03000001008,3520210000008,female,2012-08-08,UAT Test Address 08,no,,0
UAT Slab 5A,Test Guardian 09,UAT-S5-A,UAT Slab 5,A,03000001009,3520210000009,male,2012-09-09,UAT Test Address 09,no,,0
UAT Slab 5B,Test Guardian 10,UAT-S5-B,UAT Slab 5,A,03000001010,3520210000010,female,2012-10-10,UAT Test Address 10,no,,0
UAT Slab 6A,Test Guardian 11,UAT-S6-A,UAT Slab 6,A,03000001011,3520210000011,male,2012-11-11,UAT Test Address 11,no,,0
UAT Slab 6B,Test Guardian 12,UAT-S6-B,UAT Slab 6,A,03000001012,3520210000012,female,2012-12-12,UAT Test Address 12,no,,0
UAT Slab 7A,Test Guardian 13,UAT-S7-A,UAT Slab 7,A,03000001013,3520210000013,male,2011-01-13,UAT Test Address 13,no,,0
UAT Slab 7B,Test Guardian 14,UAT-S7-B,UAT Slab 7,A,03000001014,3520210000014,female,2011-02-14,UAT Test Address 14,no,,0
UAT Slab 8A,Test Guardian 15,UAT-S8-A,UAT Slab 8,A,03000001015,3520210000015,male,2011-03-15,UAT Test Address 15,no,,0
UAT Paid A,Test Guardian 16,UAT-PAID-A,UAT Control,A,03000001016,3520210000016,female,2011-04-16,UAT Test Address 16,no,,0
UAT Paid B,Test Guardian 17,UAT-PAID-B,UAT Control,A,03000001017,3520210000017,male,2011-05-17,UAT Test Address 17,no,,0
UAT Blocked A,Test Guardian 18,UAT-BLOCK-A,UAT Control,A,03000001018,3520210000018,female,2011-06-18,UAT Test Address 18,no,,0
UAT Blocked B,Test Guardian 19,UAT-BLOCK-B,UAT Control,A,03000001019,3520210000019,male,2011-07-19,UAT Test Address 19,no,,0
